"HotlineID","GroupID","DateOfCall","DateFirstObserved","Notes","Mortality","Fish","Species","Magnitude","SalinityType","WaterBodyName","Near","LatDD","LonDD","SuspectedCause"
4482,,1995-03-14,1995-03-14,"Lesioned catfish caught in a trammel net",TRUE,TRUE,"Hardhead Catfish","1to19","Saltwater","Bay Pines Boat Ramp",,27.81805,-82.75138,"Disease"
4491,,1995-04-17,1995-04-17,"Exact location Englewood Drive and Simmons Road off US41; it had rained the day before",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Bullfrog Creek",,27.71777,-82.43805,"RedTide"
4493,,1995-04-20,1995-04-20,"Angelfish on side swimming in circles; not investigated",TRUE,TRUE,"Mullet, Angelfish","20to100","Saltwater","Ozona",,28.07,-82.78416,"RedTide"
4494,,1995-05-09,1995-05-09,,TRUE,TRUE,"Catfish","20to100","Saltwater","Treasure Island",,27.76722,-82.77333,"RedTide"
4461,,1995-07-06,1995-07-06,,TRUE,TRUE,"Snapper","20to100","Saltwater","14 miles SSE of Clearwater Pass",,27.75222,-82.89917,"RedTide"
4502,,1995-08-23,1995-08-23,"Heavy downpour at the time of investigation and the kill was located upstream with no access except by boat.  No findings were made!",TRUE,TRUE,"Snook, Species Unidentified, Invertebrates","20to100","Saltwater","Mocasin Creek",,28.035,-82.67944,"RedTide"
4503,,1995-09-11,1995-09-11,"CH field lab collecting fish and Punta Gorda DEP to do water sampling",TRUE,TRUE,"Baitfish, Snook, Red Drum, Flounder","1000s","Saltwater","Sarasota Bay",,27.40693,-82.63583,"RedTide"
4505,,1995-09-15,1995-09-15,"Fish dead on ft desoto beach",TRUE,TRUE,"Red Drum","20to100","Saltwater","Tampa Bay",,27.77972,-82.61443,"RedTide"
4506,,1995-09-18,1995-09-18,"6 fish on the beach at Fort DeSoto",TRUE,TRUE,"Red Drum, Grouper","1to19","Saltwater","Tampa Bay",,27.75638,-82.57388,"RedTide"
21060,21060,1995-10-13,1995-10-13,"1st report of dead Catfish from the chronolical records that Jan had on file. This was at Ballast Point Pier. 1st Catfish Kill Group ID Record.",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay - Ballast Point Pier","Tampa Yacht Club",27.88566,-82.48041,"Unknown"
1,,1995-10-14,1995-10-14,"Near the St Pete Pier. 1st Report of Hardhead die-off. Cause was never determined",TRUE,TRUE,"Hardhead Catfish","Unknown","Saltwater","Tampa Bay - St Pete Pier",,27.77358,-82.62148,"Unknown"
2,,1995-10-14,1995-10-14,"NO NOTES PROVIDED . . . .",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","EG Simmons Park Beach - Tampa Bay",,27.74789,-82.4731,"RedTide"
3,,1995-10-14,1995-10-14,". . . .",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","Tampa Bay",,27.74789,-82.4731,"RedTide"
